,0,1,2,3,4,5
180,10-Jun-2007,10-Jun-2007, Albania,Tirana,Met with President Alfred Moisiu and Prime Minister Sali Berisha.,President George W. Bush
181,10-Jun-2007,11-Jun-2007, Bulgaria,Sofia,Met with President Georgi Parvanov and Prime Minister Sergei Stanishev.,President George W. Bush
182,20-Aug-2007,21-Aug-2007, Canada,Montebello,North American Leaders' Summit with Mexican President Calderon and Canadian Prime Minister Harper,President George W. Bush
183,3-Sep-2007,3-Sep-2007, Iraq,Al Asad Airbase,"Met with Gen. David Petraeus, Secretary of State Condoleezza Rice, Secretary of Defense Robert Gates, senior U.S. officials, Iraqi political leaders and addressed U.S military personnel .",President George W. Bush
184,3-Sep-2007,8-Sep-2007, Australia,Sydney,Attended APEC Leaders' Meeting.,President George W. Bush
185,9-Jan-2008,11-Jan-2008, Israel,"Tel Aviv, Jerusalem",Met with Prime Minister Ehud Olmert and President Shimon Peres. Visited Yad Vashem.,President George W. Bush
186,10-Jan-2008,10-Jan-2008, Palestinian National Authority,"Ramallah, Bethlehem",Met with President Mahmoud Abbas and visited the Church of the Nativity.,President George W. Bush
187,11-Jan-2008,12-Jan-2008, Kuwait,"Kuwait City, Camp Arifjan",Attended Roundtable on Democracy and Development. Met with Gen. David Petraeus and United States Ambassador to Iraq Ryan Crocker at Camp Arifjan and addressed U.S. military personnel.,President George W. Bush
188,12-Jan-2008,13-Jan-2008, Bahrain,Manama,Met with King Hamad bin Isa Al Khalifa. Addressed U.S. military personnel.,President George W. Bush
189,13-Jan-2008,14-Jan-2008, United Arab Emirates,"Abu Dhabi, Dubai",Met with President Khalifa bin Zayed Al Nahyan and Prime Minister Mohammed bin Rashid Al Maktoum.,President George W. Bush
190,14-Jan-2008,16-Jan-2008, Saudi Arabia,"Riyadh, Al-Janadriyah",Met with King Abdullah.,President George W. Bush
191,16-Jan-2008,16-Jan-2008, Egypt,Sharm el-Sheikh,Met with President Hosni Mubarak.,President George W. Bush
192,16-Feb-2008,16-Feb-2008, Benin,Porto Novo,Met with President Yayi Boni.,President George W. Bush
193,16-Feb-2008,19-Feb-2008, Tanzania,"Dar es Salaam, Arusha","Met with President Jakaya Kikwete, signed Millenimum Challenge agreement.",President George W. Bush
194,19-Feb-2008,19-Feb-2008, Rwanda,Kigali,Met with President Paul Kagame and dedicated new Embassy.,President George W. Bush
195,19-Feb-2008,21-Feb-2008, Ghana,Accra,Met with President John Kufuor.,President George W. Bush
196,21-Feb-2008,21-Feb-2008, Liberia,Monrovia,Met with President Ellen Johnson Sirleaf.,President George W. Bush
197,1-Apr-2008,1-Apr-2008, Ukraine,Kiev,,President George W. Bush
198,2-Apr-2008,4-Apr-2008, Romania,Bucharest,Attended NATO Summit Meeting.,President George W. Bush
199,4-Apr-2008,5-Apr-2008, Croatia,Zagreb,Met with President Stjepan Mesić.,President George W. Bush
200,5-Apr-2008,6-Apr-2008, Russia,Sochi,Met with President Vladimir Putin and President-elect Dmitry Medvedev.,President George W. Bush
201,14-May-2008,16-May-2008, Israel,"Tel Aviv, Jerusalem, Masada",Met with President Peres and Prime Minister Olmert. Addressed the Knesset. Commemorated Israel's 60th anniversary.,President George W. Bush
202,16-May-2008,17-May-2008, Saudi Arabia,"Riyadh, al-Janadriyah",Met with King Abdullah.,President George W. Bush
203,17-May-2008,18-May-2008, Egypt,Sharm el-Sheikh,"Met with President Mubarak, King Abdullah II of Jordan, Palestinian Authority President Abbas and Prime Minister Salam Fayyad, Afghan President Karzai and Pakistani Prime Minister Yousaf Raza Gillani. Addressed the World Economic Forum.",President George W. Bush
204,9-Jun-2008,10-Jun-2008, Slovenia,Ljubljana,Met with President Danilo Türk and Prime Minister Janez Janša. Attended the EU-US Summit Meeting.,President George W. Bush
205,10-Jun-2008,11-Jun-2008, Germany,Meseberg,Met with Chancellor Angela Merkel.,President George W. Bush
206,11-Jun-2008,13-Jun-2008, Italy,Rome,Met with President Giorgio Napolitano and Prime Minister Silvio Berlusconi.,President George W. Bush
207,13-Jun-2008,13-Jun-2008,  Vatican City,,Met with Pope Benedict XVI.,President George W. Bush
208,13-Jun-2008,15-Jun-2008, France,Paris,Met with President Nicolas Sarkozy. Addressed the OECD. Attended wreath-laying ceremonies at Suresnes and Fort Mont-Valérien.,President George W. Bush
209,15-Jun-2008,16-Jun-2008, United Kingdom,"London, Belfast","Met with Queen Elizabeth II at Windsor Castle. Met with Prime Minister Gordon Brown and Quartet Representative Tony Blair. In Belfast, met with First Minister Peter Robertson and Deputy First Minister Martin McGuinness.",President George W. Bush
210,6-Jul-2008,9-Jul-2008, Japan,Tōyako,"34th G8 summit; Also met with Tanzanian President Kikwete, Indian Prime Minister Singh, Chinese President Hu, and South Korean President Lee Myung-bak.",President George W. Bush
211,5-Aug-2008,6-Aug-2008, South Korea,Seoul,Met with President Lee Myung-bak and addressed U.S. military personnel.,President George W. Bush
212,6-Aug-2008,7-Aug-2008, Thailand,Bangkok,Met with Prime Minister Samak Sundaravej.,President George W. Bush
213,7-Aug-2008,11-Aug-2008, China,Beijing,"Met with President Hu Jintao, Premier Wen Jiabao, and Vice President Xi Jinping; Attended the opening ceremonies of the Olympics and Olympic events.",President George W. Bush
214,21-Nov-2008,23-Nov-2008, Peru,Lima,Attended the 20th APEC Summit.,President George W. Bush
215,14-Dec-2008,14-Dec-2008, Iraq,Baghdad,Met with President Jalal Talabani and Prime Minister Nouri al-Maliki. Signed Strategic Framework and Security Agreements. Visited U.S. military personnel.,President George W. Bush
216,14-Dec-2008,15-Dec-2008, Afghanistan,Kabul,Met with President Karzai and visited U.S. military personnel.,President George W. Bush
217,3-Apr-1993,4-Apr-1993, Canada,Vancouver,Summit meeting with Russian President Boris Yeltsin; also met with Canadian Prime Minister Brian Mulroney,President Bill Clinton
218,6-Jul-1993,10-Jul-1993, Japan,Tokyo,19th G7 Summit; Also met with Russian President Boris Yeltsin.,President Bill Clinton
219,10-Jul-1993,11-Jul-1993, South Korea,Seoul,"Met with President Kim Young-sam, addressed the Korean National Assembly, and visited U.S. military personnel.",President Bill Clinton
220,9-Jan-1994,11-Jan-1994, Belgium,Brussels,Attended NATO Summit Meeting. Met with King Albert II and prime minister Jean-Luc Dehaene of Belgium.,President Bill Clinton
221,11-Jan-1994,12-Jan-1994, Czech Republic,Prague,"Met with the Presidents and Prime Ministers of the Czech Republic, Hungary, Poland, and Slovakia.",President Bill Clinton
222,12-Jan-1994,12-Jan-1994, Ukraine,Kiev,Met with President Leonid Makarovych Kravchuk.,President Bill Clinton
223,12-Jan-1994,15-Jan-1994, Russia,Moscow,Met with President Boris Yeltsin and senior Russian officials. Signed nuclear disarmament agreement with Ukraine.,President Bill Clinton
224,15-Jan-1994,15-Jan-1994, Belarus,Minsk,Met with Chairman Stanislav Shushkevich.,President Bill Clinton
225,15-Jan-1994,16-Jan-1994,  Switzerland,Geneva,Met with Syrian President Hafez al-Assad.,President Bill Clinton
226,2-Jun-1994,4-Jun-1994, Italy,"Rome, Nettuno",Met with Prime Minister Silvio Berlusconi and President Oscar Luigi Scalfaro. Visited U.S. Military Cemetery.,President Bill Clinton
227,2-Jun-1994,2-Jun-1994,  Vatican City,,Audience with Pope John Paul II.,President Bill Clinton
228,4-Jun-1994,5-Jun-1994, United Kingdom,"Cambridge, London, Portsmouth","Visited U.S. Military Cemetery. Met with Prime Minister John Major. Attended state dinner with Queen Elizabeth II and heads of state and government of Canada, Poland, the Czech Republic, Slovakia, Australia, New Zealand, Norway, and Belgium. Attended D-Day commemorative ceremonies.",President Bill Clinton
229,6-Jun-1994,8-Jun-1994, France,"Colleville, Paris",Attended D-Day memorial ceremonies. Met with President François Mitterrand and senior French officials. Addressed the French National Assembly.,President Bill Clinton
230,8-Jun-1994,8-Jun-1994, United Kingdom,Oxford,Received honorary degree from Oxford University.,President Bill Clinton
231,6-Jul-1994,6-Jul-1994, Latvia,Riga,Met with the Presidents of the Baltic States.,President Bill Clinton
232,6-Jul-1994,7-Jul-1994, Poland,Warsaw,Addressed the Polish Parliament and attended ceremonies commemorating the Warsaw Ghetto Uprising.,President Bill Clinton
233,7-Jul-1994,10-Jul-1994, Italy,Naples,"20th G7 Summit; Met with the Prime Ministers of Italy, Japan, and Canada. Met with Russian President Boris Yeltsin.",President Bill Clinton
234,10-Jul-1994,12-Jul-1994, Germany,"Bonn, Ludwigshafen, Berlin",Met with Chancellor Helmut Kohl and German political leaders. Delivered a public address at the Brandenburg Gate and attended deactivation ceremony for the Berlin Brigade.,President Bill Clinton
235,25-Oct-1994,26-Oct-1994, Egypt,Cairo,Met with President Hosni Mubarak and PLO Chairman Yasser Arafat.,President Bill Clinton
236,26-Oct-1994,27-Oct-1994, Jordan,"Aqaba, Wadi Arava, Amman",Attended signing of the Israel-Jordan peace agreement and addressed the Jordanian Parliament.,President Bill Clinton
237,27-Oct-1994,27-Oct-1994, Syria,Damascus,Met with President Hafez al-Assad.,President Bill Clinton
238,27-Oct-1994,28-Oct-1994, Israel,Jerusalem,Met with senior Israeli officials and addressed the Knesset.,President Bill Clinton
239,28-Oct-1994,28-Oct-1994, Kuwait,Kuwait City,Met with the Amir of Kuwait and addressed U.S. military personnel.,President Bill Clinton
240,28-Oct-1994,28-Oct-1994, Saudi Arabia,King Khalid Military City,Met with King Fahd.,President Bill Clinton
241,12-Nov-1994,13-Nov-1994, Philippines,"Manila, Corregidor Island",State visit; met with President Fidel V. Ramos; visited World War II battlegrounds of Corregidor Island,President Bill Clinton
242,13-Nov-1994,16-Nov-1994, Indonesia,"Jakarta, Bogor","Attended APEC Summit Meeting, followed by State Visit.",President Bill Clinton
243,5-Dec-1994,5-Dec-1994, Hungary,Budapest,Attended CSCE Summit Meeting.,President Bill Clinton
244,23-Feb-1995,24-Feb-1995, Canada,Ottawa,State visit; met with Governor General Roméo LeBlanc and Prime Minister Jean Chrétien.,President Bill Clinton
245,31-Mar-1995,31-Mar-1995, Haiti,Port-au-Prince,Attended transition ceremony for United Nations Mission in Haiti.,President Bill Clinton
246,9-May-1995,11-May-1995, Russia,Moscow,Summit meeting. Attended VE Day ceremonies.,President Bill Clinton
247,11-May-1995,12-May-1995, Ukraine,Kiev,State visit.,President Bill Clinton
248,15-Jun-1995,17-Jun-1995, Canada,Halifax,21st G7 Summit; Also met with Russian President Boris Yeltsin.,President Bill Clinton
249,5-Nov-1995,6-Nov-1995, Israel,Jerusalem,Attended the funeral of Prime Minister Yitzhak Rabin.,President Bill Clinton
250,28-Nov-1995,1-Dec-1995, United Kingdom,"London, Belfast, Derry","Met with Queen Elizabeth II and Prime Minister John Major. Addressed Parliament, and delivered several public addresses in Northern Ireland.",President Bill Clinton
251,1-Dec-1995,2-Dec-1995, Ireland,Dublin,Met with President Mary Robinson and Taoiseach John Bruton.,President Bill Clinton
252,2-Dec-1995,2-Dec-1995, Germany,Baumholder,Addressed U.S. military personnel and met with Chancellor Helmut Kohl.,President Bill Clinton
253,2-Dec-1995,3-Dec-1995, Spain,Madrid,Attended European Union Summit Meeting.,President Bill Clinton
254,14-Dec-1995,14-Dec-1995, France,Paris,Attended the signing of the Bosnian peace treaty.,President Bill Clinton
255,13-Jan-1996,13-Jan-1996, Italy,Aviano Air Base,Met with U.S. military personnel.,President Bill Clinton
256,13-Jan-1996,13-Jan-1996, Hungary,Taszár,Met with U.S. military personnel.,President Bill Clinton
257,13-Jan-1996,13-Jan-1996, Bosnia and Herzegovina,Tuzla,Met with President Alija Izetbegovic and addressed U.S. military personnel.,President Bill Clinton
258,13-Jan-1996,13-Jan-1996, Croatia,Zagreb,Met with President Franjo Tudjman.,President Bill Clinton
259,13-Mar-1996,13-Mar-1996, Egypt,Sharm el-Sheikh,Attended the Summit of the Peacemakers.,President Bill Clinton
260,13-Mar-1996,14-Mar-1996, Israel,"Jerusalem, Tel Aviv",Discussed cooperation against terrorism with senior Israeli officials.,President Bill Clinton
261,15-Apr-1996,16-Apr-1996, South Korea,Cheju Island,Met with President Kim Young-sam and proposed four-nation peace talks.,President Bill Clinton
262,16-Apr-1996,18-Apr-1996, Japan,Tokyo,State visit. Issued joint statement on U.S.-Japanese security relations. Addressed the Diet and U.S. Navy personnel.,President Bill Clinton
263,18-Apr-1996,21-Apr-1996, Russia,"Saint Petersburg, Moscow",Attended G-7 summit on nuclear safety and held a summit meeting with President Boris Yeltsin.,President Bill Clinton
264,27-Jun-1996,29-Jun-1996, France,"Lyon, Pérouges, Paris",22nd G8 Summit; Met with Russian Prime Minister Viktor Chernomyrdin and UN Secretary-General Boutros Boutros-Ghali.,President Bill Clinton
265,19-Nov-1996,23-Nov-1996, Australia,"Sydney, Canberra, Port Douglas",State Visit. Addressed joint meeting of Parliament and visited the Great Barrier Reef.,President Bill Clinton
266,24-Nov-1996,25-Nov-1996, Philippines,"Manila, Subic Bay",Attended APEC Summit Meeting.,President Bill Clinton
267,25-Nov-1996,26-Nov-1996, Thailand,Bangkok,State Visit.,President Bill Clinton
268,20-Mar-1997,21-Mar-1997, Finland,Helsinki,Summit meeting with Russian President Boris Yeltsin. Also met with President Martti Ahtisaari.,President Bill Clinton
269,5-May-1997,7-May-1997, Mexico,"Mexico City, Tlaxcala",State Visit.,President Bill Clinton
270,7-May-1997,9-May-1997, Costa Rica,San José,Attended a Summit Meeting of Presidents of the Central American Republics.,President Bill Clinton
271,9-May-1997,11-May-1997, Barbados,Bridgetown,Attended a U.S.-Caribbean Community summit meeting. Signed the Partnership for Prosperity and Security in the Caribbean pact.,President Bill Clinton
272,26-May-1997,27-May-1997, France,Paris,Attended the signing of the NATO-Russia Founding Act.,President Bill Clinton
273,27-May-1997,28-May-1997, Netherlands,"The Hague, Rotterdam",Attended U.S.-EU Summit Meeting and commemorated the 50th anniversary of the Marshall Plan.,President Bill Clinton
274,28-May-1997,29-May-1997, United Kingdom,London,Met with Prime Minister Tony Blair and attended a Cabinet meeting.,President Bill Clinton
275,4-Jul-1997,10-Jul-1997, Spain,"Palma de Majorca, Madrid, Granada",Vacationed with King Juan Carlos I and Queen Sophia and attended a NATO Summit Meeting in Madrid.,President Bill Clinton
276,10-Jul-1997,11-Jul-1997, Poland,Warsaw,Met with President Aleksander Kwaśniewski and former President Lech Wałęsa.,President Bill Clinton
277,11-Jul-1997,11-Jul-1997, Romania,Bucharest,Met with President Emil Constantinescu and Romanian political leaders.,President Bill Clinton
278,11-Jul-1997,12-Jul-1997, Denmark,Copenhagen,Met with Queen Margrethe II and Prime Minister Poul Nyrup Rasmussen.,President Bill Clinton
279,12-Oct-1997,13-Oct-1997, Venezuela,Caracas,Met with President Rafael Caldera.,President Bill Clinton
280,13-Oct-1997,15-Oct-1997, Brazil,"Brasília, São Paulo, Rio de Janeiro",Met with President Fernando Henrique Cardoso; delivered several public addresses.,President Bill Clinton
281,15-Oct-1997,18-Oct-1997, Argentina,"Buenos Aires, San Carlos de Bariloche",Met with President Carlos Menem; delivered several public addresses.,President Bill Clinton
282,23-Nov-1997,25-Nov-1997, Canada,British Columbia: Vancouver,Attended APEC Economic Summit meeting.,President Bill Clinton
283,22-Dec-1997,22-Dec-1997, Italy,Aviano Air Base,Stopped en route to and from Bosnia-Herzegovina.,President Bill Clinton
284,22-Dec-1997,22-Dec-1997, Bosnia and Herzegovina,"Sarajevo, Tuzla",Met with the Bosnian Collective Presidency and with Bosnian Serb President Biljana Plavšić; visited U.S. military personnel.,President Bill Clinton
285,23-Mar-1998,23-Mar-1998, Ghana,Accra,Met with President Jerry Rawlings; visited a Peace Corps project.,President Bill Clinton
286,23-Mar-1998,25-Mar-1998, Uganda,"Kampala, Kisowera, Mukono Town, Wanyange, Entebbe","Met with President Yoweri Museveni and with the Presidents of Ethiopia, Rwanda, Tanzania, Kenya, and the Congo.",President Bill Clinton
287,25-Mar-1998,25-Mar-1998, Rwanda,Kigali,Met with President Pasteur Bizimungu; delivered a public address.,President Bill Clinton
288,25-Mar-1998,29-Mar-1998, South Africa,"Cape Town, Johannesburg",Met with President Nelson Mandela; addressed joint session of Parliament.,President Bill Clinton
289,29-Mar-1998,31-Mar-1998, Botswana,"Gaborone, Kasame",Met with President Quett Masire; visited Chobe National Park.,President Bill Clinton
290,31-Mar-1998,2-Apr-1998, Senegal,"Dakar, Thiès, Gorée Island",Met with President Abdou Diouf; visited Senegalese peacekeeping troops; delivered several public addresses.,President Bill Clinton
291,16-Apr-1998,19-Apr-1998, Chile,Santiago,State visit; attended the 2nd Summit of the Americas.,President Bill Clinton
292,12-May-1998,14-May-1998, Germany,"Berlin, Potsdam, Frankfurt, Eisenach",Met with Chancellor Helmut Kohl; commemorated 50th anniversary of the Berlin Airlift.,President Bill Clinton
293,14-May-1998,18-May-1998, United Kingdom,"Birmingham, Weston-under-Lizard, London",24th G8 Summit; and U.S.-EU Summit.,President Bill Clinton
294,18-May-1998,18-May-1998,  Switzerland,Geneva,Attended WTO meeting commemorating the 50th anniversary of GATT.,President Bill Clinton
295,24-Jun-1998,3-Jul-1998, China,"Xi'an, Beijing, Shanghai, Guilin, Hong Kong",State visit.,President Bill Clinton
296,1-Sep-1998,3-Sep-1998, Russia,Moscow,Summit meeting with President Boris Yeltsin.,President Bill Clinton
297,3-Sep-1998,3-Sep-1998, United Kingdom,"Belfast, Armagh, Omagh",Met with Prime Minister Tony Blair and Northern Irish political leaders; addressed the Northern Ireland Assembly.,President Bill Clinton
298,3-Sep-1998,5-Sep-1998, Ireland,"Dublin, Adare, Limerick, Ballybunion",Met with Taoiseach Bertie Ahern; delivered several public addresses; played golf.,President Bill Clinton
299,19-Nov-1998,20-Nov-1998, Japan,Tokyo,Met with Emperor Akihito and Prime Minister Keizō Obuchi; addressed American Chamber of Commerce.,President Bill Clinton
300,20-Nov-1998,22-Nov-1998, South Korea,"Seoul, Osan",Met with President Kim Dae-jung; addressed U.S. military personnel.,President Bill Clinton
301,12-Dec-1998,15-Dec-1998, Israel,"Jerusalem, Masada",Met with Prime Minister Benjamin Netanyahu and senior Israeli officials.,President Bill Clinton
302,14-Dec-1998,15-Dec-1998, Palestinian National Authority,"Gaza, Bethlehem, Erez",Addressed Palestine National Council; attended a meeting with Prime Minister Benjamin Netanyahu and Chairman Yasser Arafat at Erez.,President Bill Clinton
303,8-Feb-1999,8-Feb-1999, Jordan,Amman,Attended the funeral of King Hussein.,President Bill Clinton
304,14-Feb-1999,15-Feb-1999, Mexico,Mérida,State visit.,President Bill Clinton
305,8-Mar-1999,8-Mar-1999, Nicaragua,"Managua, Posoltega, El Porvenir",Discussed reconstruction aid with President Arnoldo Aleman.,President Bill Clinton
306,8-Mar-1999,9-Mar-1999, Honduras,"Soto Cano Air Base, Tegucigalpa",Discussed reconstruction aid with President Carlos Roberto Flores; addressed U.S. military personnel.,President Bill Clinton
307,10-Mar-1999,10-Mar-1999, El Salvador,San Salvador,Addressed Legislative Assembly.,President Bill Clinton
308,10-Mar-1999,11-Mar-1999, Guatemala,"Guatemala City, Antigua",Attended Central American Summit.,President Bill Clinton
309,4-May-1999,4-May-1999, Belgium,Brussels,Discussed the Kosovo conflict with NATO officials.,President Bill Clinton
310,4-May-1999,6-May-1999, Germany,"Frankfurt, Ramstein and Spangdahlem Air Bases, Bonn, Ingelheim am Rhein",Addressed U.S. military personnel; met with Chancellor Gerhard Schroeder; met with Kosovo refugees.,President Bill Clinton
311,16-Jun-1999,16-Jun-1999,  Switzerland,Geneva,Addressed ILO Conference; met with President Ruth Dreifuss.,President Bill Clinton
312,16-Jun-1999,17-Jun-1999, France,Paris,Discussed peacekeeping in Kosovo with President Jacques Chirac and Prime Minister Lionel Jospin.,President Bill Clinton
313,17-Jun-1999,21-Jun-1999, Germany,"Cologne, Bonn",25th G8 Summit;,President Bill Clinton
314,21-Jun-1999,22-Jun-1999, Slovenia,Ljubljana,"Met with President Milan Kučan, Prime Minister Janez Drnovšek, and President Milo Đukanović of Montenegro.",President Bill Clinton
315,22-Jun-1999,22-Jun-1999, Macedonia,Skopje,Met with President Kiro Gligorov; addressed Kosovar refugees and NATO military personnel.,President Bill Clinton
316,22-Jun-1999,22-Jun-1999, Italy,Aviano Air Base,Addressed U.S. military personnel.,President Bill Clinton
317,25-Jul-1999,25-Jul-1999, Morocco,Rabat,Attended the funeral of King Hassan II; met with Palestinian Authority President Yasser Arafat and Israeli Prime Minister Ehud Barak.,President Bill Clinton
318,29-Jul-1999,30-Jul-1999, Italy,Aviano Air Base,Stopped en route to Sarajevo.,President Bill Clinton
319,30-Jul-1999,30-Jul-1999, Bosnia and Herzegovina,Sarajevo,Attended Stability Pact Leaders Conference.,President Bill Clinton
320,11-Sep-1999,15-Sep-1999, New Zealand,"Auckland, Queenstown, Christchurch",Attended Asia-Pacific Economic Cooperation Leaders meeting; State visit.,President Bill Clinton
321,7-Oct-1999,8-Oct-1999, Canada,"Ottawa, Mont-Tremblant","Working visit. Met with Prime Minister Jean Chrétien and Quebec Premier Bouchard, attended Federalism Conference at Mont Tremblant, and dedicated new Embassy building.",President Bill Clinton
322,1-Nov-1999,2-Nov-1999, Norway,Oslo,State visit. Attended commemorative ceremony for former Israeli Prime Minister Yitzhak Rabin; discussed Chechnya crisis with Russian Prime Minister Vladimir Putin.,President Bill Clinton
323,15-Nov-1999,19-Nov-1999, Turkey,"Ankara, İzmit, Ephesus, Istanbul",State visit and attended Organization for Security and Cooperation in Europe Summit meeting in Istanbul.,President Bill Clinton
324,19-Nov-1999,20-Nov-1999, Greece,Athens,State visit. Met with Prime Minister Konstantinos Simitis.,President Bill Clinton
325,20-Nov-1999,21-Nov-1999, Italy,Florence,Attended conference on Progressive Governance for the 21st Century.,President Bill Clinton
326,21-Nov-1999,23-Nov-1999, Bulgaria,Sofia,Met with President Petar Stoyanov and Prime Minister Ivan Kostov.,President Bill Clinton
327,23-Nov-1999,23-Nov-1999, Serbia and Montenegro (Kosovo),"Pristina, Uroševac, Camp Bondsteel",Met with Kosovar Transitional Council; addressed the Albanian community and U.S. military personnel.,President Bill Clinton
328,29-Jan-2000,29-Jan-2000,  Switzerland,Davos,Addressed the World Economic Forum.,President Bill Clinton
329,18-Mar-2000,18-Mar-2000, Italy,Aviano Air Base,Stopped en route to India.,President Bill Clinton
330,19-Mar-2000,25-Mar-2000, India,"New Delhi, Agra, Jaipur, Hyderabad, Mumbai",Met with President Kocheril Raman Narayanan; signed Joint Statement on Energy and the Environment; addressed the Indian Parliament.,President Bill Clinton
331,20-Mar-2000,20-Mar-2000, Bangladesh,Dhaka,Met with President Shahabuddin Ahmed and Prime Minister Sheikh Hasina.,President Bill Clinton
332,25-Mar-2000,25-Mar-2000, Pakistan,Islamabad,Met with President Muhammad Rafiq Tarar and General Pervez Musharraf; delivered radio address.,President Bill Clinton
333,25-Mar-2000,25-Mar-2000, Oman,,Met with Sultan Qaboos bin Said en route from Pakistan to Switzerland.,President Bill Clinton
334,25-Mar-2000,26-Mar-2000,  Switzerland,Geneva,Met with President Hafez al-Assad of Syria.,President Bill Clinton
335,30-May-2000,1-Jun-2000, Portugal,Lisbon,Attended U.S.-European Union Summit Meeting; met with Israeli Prime Minister Ehud Barak.,President Bill Clinton
336,1-Jun-2000,3-Jun-2000, Germany,"Berlin, Aachen","Met with President Johannes Rau and Chancellor Gerhard Schroeder; received Charlemagne Prize, and attended a Third Way Conference.",President Bill Clinton
337,3-Jun-2000,5-Jun-2000, Russia,Moscow,Summit meeting with President Vladimir Putin; addressed the Duma.,President Bill Clinton
338,5-Jun-2000,5-Jun-2000, Ukraine,Kiev,Met with President Leonid Danylovych Kuchma.,President Bill Clinton
339,8-Jun-2000,8-Jun-2000, Japan,Tokyo,Attended the funeral of former Prime Minister Keizō Obuchi.,President Bill Clinton
340,21-Jul-2000,23-Jul-2000, Japan,Nago,26th G8 Summit;,President Bill Clinton
341,26-Aug-2000,28-Aug-2000, Nigeria,"Abuja, Ushafa",Met with President Olusegun Obasanjo and addressed the National Assembly.,President Bill Clinton
342,28-Aug-2000,29-Aug-2000, Tanzania,Arusha,Met with former South African President Nelson Mandela to promote a peace agreement for Burundi; also met with President Benjamin Mkapa.,President Bill Clinton
343,29-Aug-2000,29-Aug-2000, Egypt,Cairo,Briefed President Hosni Mubarak on the Middle East Peace Process.,President Bill Clinton
344,30-Aug-2000,30-Aug-2000, Colombia,Cartagena,Met with President Andrés Pastrana Arango.,President Bill Clinton
345,16-Oct-2000,17-Oct-2000, Egypt,Sharm el-Sheikh,Attended Israeli-Palestinian Summit Meeting.,President Bill Clinton
346,14-Nov-2000,16-Nov-2000, Brunei,Bandar Seri Begawan,Attended APEC Leaders' Meeting.,President Bill Clinton
347,16-Nov-2000,19-Nov-2000, Vietnam,"Hanoi, Tien Chau, Ho Chi Minh City",Met with President Tran Duc Luong and delivered several public addresses.,President Bill Clinton
348,12-Dec-2000,12-Dec-2000, Ireland,"Dublin, Dundalk",Met with Taoiseach Bertie Ahern and delivered several public addresses.,President Bill Clinton
349,12-Dec-2000,14-Dec-2000, United Kingdom,"Belfast, London, Coventry","Met with Prime Minister Tony Blair and Northern Irish political leaders in Belfast, met with Queen Elizabeth II, and made a speech at the University of Warwick.",President Bill Clinton
350,10-Feb-1989,10-Feb-1989, Canada,Ottawa,Working visit; met with Prime Minister Brian Mulroney.,President George H. W. Bush
351,23-Feb-1989,25-Feb-1989, Japan,Tokyo,"Attended the funeral of Emperor Hirohito. Met with Emperor Akihito of Japan; the Kings of Belgium, Jordan, and Spain; the Presidents of Brazil, Egypt, France, the Federal Republic of Germany, Israel, Italy, Nigeria, the Philippines, Portugal, and Zaire; and the Prime Ministers of Japan, Pakistan, Singapore, Thailand, and Turkey.",President George H. W. Bush
352,25-Feb-1989,27-Feb-1989, People's Republic of China,Beijing,Met with President Yang Shangkun and Premier Li Peng. Also met with Prince Sihanouk of Cambodia.,President George H. W. Bush
353,27-Feb-1989,27-Feb-1989, South Korea,Seoul,Official visit; addressed the National Assembly.,President George H. W. Bush
354,26-May-1989,28-May-1989, Italy,"Rome, Nettuno",Met with President Francesco Cossiga and Prime Minister Ciriaco De Mita.,President George H. W. Bush
355,27-May-1989,27-May-1989,  Vatican City,,Audience with Pope John Paul II.,President George H. W. Bush
356,28-May-1989,30-May-1989, Belgium,Brussels,"Attended NATO Summit Meeting. Present were the Heads of State and Government of Canada, Denmark, France, Federal Republic of Germany, Greece, Iceland, Italy, Luxembourg, Norway, Portugal, Spain, Turkey, and the United Kingdom.",President George H. W. Bush
357,30-May-1989,31-May-1989, Federal Republic of Germany,"Bonn, Mainz",Met with Chancellor Helmut Kohl.,President George H. W. Bush
358,31-May-1989,2-Jun-1989, United Kingdom,London,Met with Queen Elizabeth II and Prime Minister Margaret Thatcher.,President George H. W. Bush
359,9-Jul-1989,11-Jul-1989, Poland,"Warsaw, Gdansk",Met with government and Solidarity leaders. Addressed the National Assembly on July 10.,President George H. W. Bush
360,11-Jul-1989,13-Jul-1989, Hungary,Budapest,Met with Hungarian officials and delivered an address at Karl Marx University.,President George H. W. Bush
361,13-Jul-1989,17-Jul-1989, France,Paris,"15th G7 Summit; Also attended ceremonies for the Bicentennial of the French Revolution, and met with Ivorian President Felix Houphouet-Boigny.",President George H. W. Bush
362,17-Jul-1989,18-Jul-1989, The Netherlands,"The Hague, Leiden",Met with Queen Beatrix and Prime Minister Ruud Lubbers and delivered a public address.,President George H. W. Bush
363,27-Oct-1989,28-Oct-1989, Costa Rica,San José,Attended Hemispheric Summit Meeting.,President George H. W. Bush
364,1-Dec-1989,3-Dec-1989, Malta,Valletta and Marsaxlokk,Attended Summit Meeting (December 2–3) with Soviet Chairman Mikhail Gorbachev. Met also with Maltese Prime Minister Eddie Fenech Adami.,President George H. W. Bush
365,3-Dec-1989,4-Dec-1989, Belgium,Brussels,Briefed NATO Heads of State and Government on the U.S.-Soviet Summit Meeting.,President George H. W. Bush
